@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE roc_auc NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
75193,1.0,1,?,not_applicable
2117,1.0,2,0.08793895579226696,ok
75156,1.0,3,0.13724430904807328,ok
75129,1.0,4,0.13980727695630513,ok
75239,1.0,5,0.0,ok
75221,1.0,6,?,not_applicable
258,1.0,7,?,not_applicable
75121,1.0,8,0.0,ok
253,1.0,9,?,not_applicable
261,1.0,10,0.2122086667541212,ok
75168,1.0,11,?,not_applicable
75240,1.0,12,0.008059141098842426,ok
75120,1.0,13,0.09335378323108379,ok
75124,1.0,14,0.09072353464465754,ok
75154,1.0,15,?,not_applicable
75176,1.0,16,0.0010158887521302118,ok
75103,1.0,17,0.0010105294215272398,ok
75207,1.0,18,?,not_applicable
75095,1.0,19,0.012486164087944673,ok
273,1.0,20,0.013942869666861424,ok
75174,1.0,21,0.05536103510941881,ok
75153,1.0,22,0.03315962428457975,ok
75093,1.0,23,0.2565373698567297,ok
75119,1.0,24,0.047190082644628095,ok
75201,1.0,25,?,not_applicable
75172,1.0,26,?,not_applicable
75202,1.0,27,?,not_applicable
75233,1.0,28,0.016992932520089044,ok
75230,1.0,29,?,not_applicable
75231,1.0,30,?,not_applicable
75196,1.0,31,0.0002773925104021524,ok
248,1.0,32,?,not_applicable
75191,1.0,33,0.0790534830997216,ok
260,1.0,34,?,not_applicable
75115,1.0,35,0.03132165937043996,ok
75123,1.0,36,?,not_applicable
75108,1.0,37,3.117258125384659e-05,ok
75192,1.0,38,0.5132356886632153,ok
75232,1.0,39,0.08293273641334264,ok
75173,1.0,40,0.05034862012987007,ok
75197,1.0,41,?,not_applicable
75150,1.0,42,0.2093613421683349,ok
75100,1.0,43,0.18691189050470491,ok
75178,1.0,44,?,not_applicable
75236,1.0,45,?,not_applicable
75179,1.0,46,0.11130186073604764,ok
75213,1.0,47,0.02499014584154513,ok
2123,1.0,48,?,not_applicable
75227,1.0,49,0.03527578003226772,ok
75184,1.0,50,0.057866776957397725,ok
75142,1.0,51,0.015109850155587634,ok
75188,1.0,52,?,not_applicable
75133,1.0,53,0.0768227258069244,ok
75134,1.0,54,?,not_applicable
2119,1.0,55,?,not_applicable
75198,1.0,56,?,not_applicable
262,1.0,57,?,not_applicable
75234,1.0,58,0.002976845268439221,ok
252,1.0,59,?,not_applicable
75117,1.0,60,0.06436314363143625,ok
75113,1.0,61,0.0003697996918335944,ok
75098,1.0,62,?,not_applicable
246,1.0,63,?,not_applicable
75203,1.0,64,?,not_applicable
75237,1.0,65,3.974190070032968e-06,ok
75195,1.0,66,0.0,ok
75171,1.0,67,0.08403927735277572,ok
75096,1.0,68,?,not_applicable
75250,1.0,69,?,not_applicable
75146,1.0,70,0.04010338862725116,ok
75116,1.0,71,0.0018849603015935745,ok
75157,1.0,72,0.45110455974842756,ok
75187,1.0,73,0.0012348065111884576,ok
2350,1.0,74,0.4156206124195163,ok
242,1.0,75,?,not_applicable
244,1.0,76,?,not_applicable
75125,1.0,77,0.029043834914124655,ok
75163,1.0,78,0.025969812569676787,ok
75177,1.0,79,0.003033038075647476,ok
75189,1.0,80,0.00581816473687824,ok
75244,1.0,81,0.10572050057911231,ok
75222,1.0,82,0.03970238095238099,ok
75159,1.0,83,0.12505298855447222,ok
75105,1.0,84,0.19031392628433064,ok
75106,1.0,85,0.27568096866440894,ok
75212,1.0,86,0.17124597861055557,ok
75099,1.0,87,0.17444568354762535,ok
75248,1.0,88,0.1442149779800569,ok
75235,1.0,89,?,not_applicable
75226,1.0,90,0.0004200842714507935,ok
75132,1.0,91,0.3123252210553751,ok
75127,1.0,92,0.27861680739140127,ok
75143,1.0,93,0.0011156945047522404,ok
75114,1.0,94,0.015493278651173448,ok
75182,1.0,95,0.05656205981210349,ok
75205,1.0,96,?,not_applicable
75090,1.0,97,?,not_applicable
275,1.0,98,?,not_applicable
288,1.0,99,?,not_applicable
75092,1.0,100,0.05110274341043575,ok
3043,1.0,101,0.003033038075647476,ok
75249,1.0,102,0.0004808206004915938,ok
75126,1.0,103,0.04117052753121164,ok
75225,1.0,104,0.08325401861252102,ok
75141,1.0,105,0.008967847250265892,ok
75107,1.0,106,0.13707942855649424,ok
75097,1.0,107,0.24740047449674774,ok
